Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nn,00400936,9,"Friday, January 25, 2013 22:05:49 UTC",38.5743,-119.6100,1.0,5.20, 9,"Northern California"
ak,10644876,1,"Friday, January 25, 2013 21:44:57 UTC",62.8756,-148.1345,1.0,56.70, 5,"Central Alaska"
ak,10644865,1,"Friday, January 25, 2013 21:31:50 UTC",63.5667,-150.7873,1.8,4.80, 9,"Central Alaska"
mb,13930962,2,"Friday, January 25, 2013 21:14:36 UTC",47.4443,-116.0146,1.9,2.00,21,"northern Idaho"
nc,71928756,0,"Friday, January 25, 2013 21:10:25 UTC",38.7558,-122.7395,1.0,3.80, 7,"Northern California"
us,c000evlt,4,"Friday, January 25, 2013 21:08:43 UTC",38.4261,73.3574,4.2,118.50,22,"Tajikistan"
nc,71928746,0,"Friday, January 25, 2013 20:53:14 UTC",40.2987,-124.8745,2.3,0.20,13,"offshore Northern California"
ak,10644843,1,"Friday, January 25, 2013 20:31:03 UTC",60.6546,-150.9223,1.9,15.70,10,"Kenai Peninsula, Alaska"
pr,13025004,0,"Friday, January 25, 2013 20:25:04 UTC",19.4892,-65.5002,3.3,87.00,10,"Puerto Rico region"
ak,10644838,1,"Friday, January 25, 2013 20:23:26 UTC",61.9375,-148.2923,2.0,23.50,15,"Southern Alaska"
nc,71928716,1,"Friday, January 25, 2013 19:55:28 UTC",38.8350,-122.7722,1.7,2.70,30,"Northern California"
us,c000evi7,A,"Friday, January 25, 2013 19:53:28 UTC",-24.1408,-65.3074,5.1,41.90,154,"Jujuy, Argentina"
us,c000evhf,D,"Friday, January 25, 2013 19:43:03 UTC",49.7278,155.6950,4.9,62.70,222,"Kuril Islands"
nc,71928696,2,"Friday, January 25, 2013 19:12:35 UTC",36.5573,-121.0743,1.0,7.20,12,"Central California"
us,c000evg1,4,"Friday, January 25, 2013 18:52:26 UTC",43.3369,18.7652,4.2,11.00,56,"Bosnia and Herzegovina"
nc,71928686,3,"Friday, January 25, 2013 18:51:53 UTC",36.0028,-120.5617,2.0,4.40,76,"Central California"
uw,60497417,1,"Friday, January 25, 2013 18:35:04 UTC",47.1993,-121.8933,1.5,8.10,33,"Washington"
ci,15277457,4,"Friday, January 25, 2013 18:23:06 UTC",34.6292,-117.2993,1.2,0.00,22,"Southern California"
ci,15277449,2,"Friday, January 25, 2013 18:08:35 UTC",34.6760,-116.3478,1.8,3.70,45,"Southern California"
us,c000evei,6,"Friday, January 25, 2013 17:46:18 UTC",29.3787,132.1969,4.8,9.70,105,"southeast of Shikoku, Japan"
nc,71928651,8,"Friday, January 25, 2013 17:38:58 UTC",38.2393,-122.0590,2.9,8.30,151,"Northern California"
